	bal	pos	total			
Nm1.d50.s2.genepop.ci	0	632	632	0	0.316	0.316
Nm1.d50.s20.genepop.ci	92	138	230	0.046	0.069	0.115
Nm1.d50.s5.genepop.ci	50	170	220	0.025	0.085	0.11
Nm1.d75.s10.genepop.ci	55	196	251	0.0275	0.098	0.1255
Nm1.d75.s2.genepop.ci	0	601	601	0	0.3005	0.3005
Nm1.d75.s20.genepop.ci	73	153	226	0.0365	0.0765	0.113
Nm1.d75.s5.genepop.ci	52	189	241	0.026	0.0945	0.1205
Nm10.d10.s10.genepop.ci	0	104	104	0	0.052	0.052
Nm10.d10.s2.genepop.ci	0	135	135	0	0.0675	0.0675
Nm10.d10.s20.genepop.ci	10	178	188	0.005	0.089	0.094
Nm10.d10.s5.genepop.ci	0	94	94	0	0.047	0.047
Nm10.d100.s10.genepop.ci	0	60	60	0	0.03	0.03
Nm10.d100.s2.genepop.ci	0	166	166	0	0.083	0.083
Nm10.d100.s20.genepop.ci	5	49	54	0.0025	0.0245	0.027
Nm10.d100.s5.genepop.ci	0	85	85	0	0.0425	0.0425
Nm10.d2.s10.genepop.ci	0	193	193	0	0.0965	0.0965
Nm10.d2.s2.genepop.ci	0	133	133	0	0.0665	0.0665
Nm10.d2.s20.genepop.ci	0	335	335	0	0.1675	0.1675
Nm10.d2.s5.genepop.ci	0	132	132	0	0.066	0.066
Nm10.d25.s10.genepop.ci	0	74	74	0	0.037	0.037
Nm10.d25.s2.genepop.ci	0	152	152	0	0.076	0.076
Nm10.d25.s20.genepop.ci	20	80	100	0.01	0.04	0.05
Nm10.d25.s5.genepop.ci	0	94	94	0	0.047	0.047
Nm10.d5.s10.genepop.ci	0	157	157	0	0.0785	0.0785
Nm10.d5.s2.genepop.ci	0	129	129	0	0.0645	0.0645
Nm10.d5.s20.genepop.ci	2	226	228	0.001	0.113	0.114
Nm10.d5.s5.genepop.ci	0	123	123	0	0.0615	0.0615
Nm10.d50.s10.genepop.ci	0	87	87	0	0.0435	0.0435
Nm10.d50.s2.genepop.ci	0	156	156	0	0.078	0.078
Nm10.d50.s20.genepop.ci	16	79	95	0.008	0.0395	0.0475
Nm10.d50.s5.genepop.ci	0	88	88	0	0.044	0.044
Nm10.d75.s10.genepop.ci	0	73	73	0	0.0365	0.0365
Nm10.d75.s2.genepop.ci	0	177	177	0	0.0885	0.0885
Nm10.d75.s20.genepop.ci	13	68	81	0.0065	0.034	0.0405
Nm10.d75.s5.genepop.ci	0	76	76	0	0.038	0.038
